import time: self [us] | cumulative | imported package
import time:      7389 |       7389 |               pydantic._internal._core_utils
import time:      7608 |       7608 |                 pydantic._internal._import_utils
import time:      8245 |      15853 |               pydantic._internal._utils
import time:     11838 |      35079 |             pydantic._internal._decorators
import time:      7858 |       7858 |                 pydantic._internal._forward_ref
import time:      7928 |      15785 |               pydantic._internal._generics
import time:      7108 |       7108 |               pydantic._internal._docs_extraction
import time:      9723 |      32616 |             pydantic._internal._fields
import time:     10225 |      10225 |                 pydantic.plugin
import time:     11854 |      22078 |               pydantic.plugin._schema_validator
import time:      7652 |      29729 |             pydantic._internal._mock_val_ser
import time:       703 |        703 |                   fnmatch
import time:       652 |        652 |                     _winapi
import time:       619 |        619 |                     nt
import time:       608 |        608 |                     nt
import time:       636 |        636 |                     nt
import time:       586 |        586 |                     nt
import time:       570 |        570 |                     nt
import time:       595 |        595 |                     nt
import time:      1053 |       5315 |                   ntpath
import time:       861 |        861 |                     urllib
import time:      2231 |       2231 |                     ipaddress
import time:      2233 |       5325 |                   urllib.parse
import time:      2215 |      13556 |                 pathlib
import time:      2580 |       2580 |                 fractions
import time:       934 |        934 |                     _wmi
import time:      1517 |       2450 |                   platform
import time:        66 |         66 |                   _uuid
import time:      1893 |       4408 |                 uuid
import time:      7273 |       7273 |                     sysconfig
import time:      1414 |       1414 |                     _sysconfigdata__linux_x86_64-linux-gnu
import time:      1553 |      10239 |                   zoneinfo._tzpath
import time:       506 |        506 |                   zoneinfo._common
import time:       117 |        117 |                   _zoneinfo
import time:      1324 |      12184 |                 zoneinfo
import time:      6297 |       6297 |                 pydantic.annotated_handlers
import time:     10523 |      10523 |                 pydantic.functional_validators
import time:      7971 |       7971 |                   pydantic._internal._core_metadata
import time:      7775 |       7775 |                   pydantic._internal._schema_generation_shared
import time:     10728 |      26473 |                 pydantic.json_schema
import time:      8873 |       8873 |                 pydantic._internal._discriminated_union
import time:      7470 |       7470 |                 pydantic._internal._known_annotated_metadata
import time:      7512 |       7512 |                 pydantic._internal._schema_gather
import time:     11204 |     111076 |               pydantic._internal._generate_schema
import time:      7581 |       7581 |               pydantic._internal._signature
import time:      8025 |     126681 |             pydantic._internal._model_construction
import time:      9530 |       9530 |             hexai.core.validation.strategies
import time:      9787 |       9787 |             hexai.core.validation.types
import time:     23142 |     624989 |           hexai.core.validation.core
import time:      9023 |       9023 |           hexai.core.validation.errors
import time:      8750 |       8750 |           hexai.core.validation.factory
import time:        77 |         77 |                   _json
import time:       885 |        961 |                 json.scanner
import time:      1316 |       2276 |               json.decoder
import time:       701 |        701 |               json.encoder
import time:      1114 |       4091 |             json
import time:      9049 |      13139 |           hexai.core.validation.pydantic_converters
import time:      9841 |       9841 |           hexai.core.validation.schema_compatibility
import time:     33290 |     723835 |         hexai.core.validation
import time:       205 |     724039 |       hexai.core.validation.schema_compatibility
import time:     16849 |     795250 |     hexai.core.domain.dag
import time:     17790 |     822996 |   hexai.core.domain
import time:      7501 |     830496 | hexai
